"Sector","Site","benthic_code","recent_cover","recent_Year","n_site_recent"
"Kilifi","Kilifi","HC",24.3,2008,1
"Kilifi","Kilifi","HC",28.2,2014,1
"Kilifi","Kilifi","HC",31.33,2017,2
"Kilifi","Malindi","HC",20.07,2015,4
"Kilifi","Malindi","HC",24.89,2016,3
"Kilifi","Malindi","HC",19.17,2017,2
"Kilifi","Malindi-Ugwana_bay","HC",26.63,2014,3
"Kilifi","Malindi-Ugwana_bay","HC",34.5,2015,2
"Kilifi","Mtwapa","HC",18.8,1988,1
"Kilifi","Watamu","HC",21.83,2015,3
"Kilifi","Watamu","HC",28.64,2016,2
"Kilifi","Watamu","HC",17.32,2017,4
"Kwale","Diani_Chale","HC",12.38,2005,23
"Kwale","Diani_Chale","HC",11.1,2006,17
"Kwale","Diani_Chale","HC",11.04,2017,4
"Kwale","Kisite","HC",38.43,2012,4
"Kwale","Kisite","HC",24.9,2014,7
"Kwale","Kisite","HC",28.33,2017,1
"Kwale","Midjira","HC",1.9,1988,1
"Kwale","Shimoni","HC",28.85,2013,2
"Kwale","Shimoni","HC",28.74,2014,8
"Kwale","Shimoni","HC",34.83,2017,2
"Lamu","Kiunga_MNR","HC",18.82,2006,19
"Lamu","Kiunga_MNR","HC",15.41,2007,7
"Lamu","Kiunga_MNR","HC",18.96,2008,14
"Lamu","Lamu","HC",22.36,2014,9
"Lamu","Lamu","HC",16.78,2015,5
"Lamu","Lamu","HC",18.99,2017,2
"Mombasa","Mombasa","HC",23.35,2012,4
"Mombasa","Mombasa","HC",28.85,2013,4
"Mombasa","Mombasa","HC",25.89,2016,4
