"Sector","Site","benthic_code","recent_cover_ave","ref_cover","score","ohi_score"
"Kilifi","Kilifi","HC",27.94,16.73,1.67,1
"Kilifi","Malindi","HC",21.38,29.72,0.719,0.719
"Kilifi","Watamu","HC",22.6,27.52,0.821,0.821
"Kwale","Diani_Chale","HC",11.51,4.7,2.449,1
"Kwale","Kisite","HC",30.55,23.54,1.298,1
"Lamu","Kiunga_MNR","HC",17.73,14.1,1.257,1
"Lamu","Lamu","HC",19.38,10.4,1.863,1
"Mombasa","Mombasa","HC",26.03,23.92,1.088,1
