stock_name,common
Marine_fishes_not_identified,NA
Miscellaneous_marine_crustaceans,NA
Miscellaneous_aquatic_invertebrates,NA
Marine_groundfishes_not_identified,NA
Marine_pelagic_fishes_not_identified,NA
Mollusca,NA
Elasmobranchii,NA
Chondrichthyes,NA
Cephalopoda,NA
Scyphozoa,NA
Malacostraca,NA
Rajiformes,NA
Anguilliformes,NA
Clupeiformes,NA
Siluriformes,NA
Gadiformes,NA
Perciformes,NA
Pleuronectiformes,NA
Batoidea,NA
Teuthida,NA
Octopoda,NA
Decapoda,NA
Lamnidae,NA
Carcharhinidae,NA
Sphyrnidae,NA
Rajidae,NA
Clupeidae,NA
Muraenidae,NA
Congridae,NA
Ariidae,NA
Synodontidae,NA
Myctophidae,NA
Lophiidae,NA
Berycidae,NA
Platycephalidae,NA
Serranidae,NA
Terapontidae,NA
Rachycentridae,NA
Carangidae,NA
Leiognathidae,NA
Lutjanidae,NA
Nemipteridae,NA
Gerreidae,NA
Haemulidae,NA
Lethrinidae,NA
Sparidae,NA
Sciaenidae,NA
Mullidae,NA
Pomacentridae,NA
Mugilidae,NA
Sphyraenidae,NA
Labridae,NA
Scaridae,NA
Acanthuridae,NA
Siganidae,NA
Trichiuridae,NA
Scombridae,NA
Istiophoridae,NA
Centrolophidae,NA
Stromateidae,NA
Psettodidae,NA
Bothidae,NA
Ostraciidae,NA
Diodontidae,NA
Engraulidae,NA
Caesionidae,NA
Hemiramphidae,NA
Inermiidae,NA
Loliginidae,NA
Sepiidae,NA
Octopodidae,NA
Palinuridae,NA
Penaeidae,NA
Veneridae,NA
Holothuriidae,NA
Coryphaena,NA
Diodon,NA
Siganus,NA
Epinephelus,NA
Sphyraena,NA
Scomberomorus,NA
Makaira,NA
Isurus,NA
Alopias,NA
Trachurus,NA
Sphyrna,NA
Scolopsis,NA
Chirocentrus,NA
Sillago,NA
Serranus,NA
Seriola,NA
Gerres,NA
Etelis,NA
Auxis,NA
Thunnus,NA
Sardinella,NA
Saurida,NA
Decapterus,NA
Rastrelliger,NA
Loligo,NA
Octopus,NA
Panulirus,NA
Metapenaeus,NA
Penaeus,NA
Modiolus,NA
Coryphaena_hippurus,Common dolphinfish
Istiophorus_platypterus,Indo-Pacific sailfish
Aprion_virescens,Green jobfish
Acanthocybium_solandri,Wahoo
Auxis_rochei,Bullet tuna
Auxis_thazard,Frigate tuna
Euthynnus_affinis,Kawakawa
Katsuwonus_pelamis,Skipjack tuna
Rastrelliger_kanagurta,Indian mackerel
Scomberomorus_commerson,Narrowbarred Spanish mackerel
Thunnus_alalunga,Albacore
Thunnus_albacares,Yellowfin tuna
Thunnus_obesus,Bigeye tuna
Istiompax_indica,Black marlin
Kajikia_audax,Striped marlin
Xiphias_gladius,Swordfish
Lactarius_lactarius,False trevally
Pomatomus_saltatrix,Bluefish
Decapterus_russelli,Indian scad
Megalaspis_cordyla,Torpedo scad
Selar_crumenophthalmus,Bigeye scad
Psettodes_erumei,Indian halibut
Isurus_oxyrinchus,Shortfin mako
Carcharhinus_amblyrhynchos,NA
Carcharhinus_longimanus,Oceanic whitetip shark
Carcharhinus_melanopterus,Blacktip reef shark
Prionace_glauca,Blue shark
Sphyrna_zygaena,Smooth hammerhead
Trichiurus_lepturus,Largehead hairtail
Zeus_faber,John dory
Chirocentrus_nudus,Whitefin wolf-herring
Pellona_ditchela,NA
Lethrinus_nebulosus,Spangled emperor
Lethrinus_harak,NA
Lethrinus_lentjan,Pink ear emperor
Lethrinus_olivaceus,Longface emperor
Parastromateus_niger,Black pomfret
Seriolina_nigrofasciata,Blackbanded trevally
Alopias_vulpinus,Thresher
Rachycentron_canadum,Cobia
Tetrapturus_angustirostris,NA
Leiognathus_equulus,Common ponyfish
Gazza_minuta,NA
Diagramma_pictum,Painted sweetlips
Plotosus_lineatus,NA
Epinephelus_areolatus,Areolate grouper
Echidna_nebulosa,NA
Parupeneus_indicus,NA
Gerres_oyena,Common silverbiddy
Chirocentrus_dorab,Dorab wolfherring
Pomadasys_stridens,Striped piggy
Pelates_quadrilineatus,Fourlined terapon
Portunus_pelagicus,Blue swimming crab
Penaeus_monodon,Giant tiger prawn
Penaeus_semisulcatus,Green tiger prawn
Fenneropenaeus_indicus,Indian white prawn
Scylla_serrata,Indo-Pacific swamp crab
Haliporoides_sibogae,NA
Metapenaeus_monoceros,Speckled shrimp
Melicertus_latisulcatus,Western king prawn
Sepioteuthis_lessoniana,NA
Thenus_orientalis,Flathead lobster
Sepia_latimanus,NA
Octopus_cyanea,Big blue octopus
Scombroidea,NA
Zeidae,NA
Bramidae,NA
Isurus_paucus,NA
Carcharhinus_falciformis,Silky shark
Galeocerdo_cuvier,NA
Lepidocybium_flavobrunneum,NA
Lampris_guttatus,NA
Lamniformes,NA
Carcharhinus_galapagensis,NA
Sphyrna_lewini,Scalloped hammerhead
Seriola_dumerili,Greater amberjack
Carcharhinus_limbatus,Blacktip shark
Gempylidae,NA
Sarda_orientalis,NA
Carcharhinus_plumbeus,NA
Lethrinus,NA
Carcharhinus_brachyurus,NA
Carcharhinus_obscurus,NA
Beryx,NA
Gerres_oblongus,NA
Xiphiidae,NA
Carcharhinus,NA
Caranx_ignobilis,Giant trevally
Ommastrephes_bartramii,NA
