stock_name,common
Coryphaena_hippurus,Common dolphinfish
Istiophorus_platypterus,Indo-Pacific sailfish
Aprion_virescens,Green jobfish
Auxis_rochei,Bullet tuna
Auxis_thazard,Frigate tuna
Euthynnus_affinis,Kawakawa
Katsuwonus_pelamis,Skipjack tuna
Scomberomorus_commerson,Narrowbarred Spanish mackerel
Thunnus_alalunga,Albacore
Thunnus_albacares,Yellowfin tuna
Thunnus_obesus,Bigeye tuna
Istiompax_indica,Black marlin
Kajikia_audax,Striped marlin
Xiphias_gladius,Swordfish
Lactarius_lactarius,False trevally
Decapterus_russelli,Indian scad
Megalaspis_cordyla,Torpedo scad
Psettodes_erumei,Indian halibut
Isurus_oxyrinchus,Shortfin mako
Carcharhinus_falciformis,Silky shark
Carcharhinus_limbatus,Blacktip shark
Carcharhinus_melanopterus,Blacktip reef shark
Prionace_glauca,Blue shark
Trichiurus_lepturus,Largehead hairtail
Chirocentrus_nudus,Whitefin wolf-herring
Lethrinus_nebulosus,Spangled emperor
Lethrinus_lentjan,Pink ear emperor
Lethrinus_olivaceus,Longface emperor
Parastromateus_niger,Black pomfret
Alopias_vulpinus,Thresher
Rachycentron_canadum,Cobia
Diagramma_pictum,Painted sweetlips
Epinephelus_areolatus,Areolate grouper
Gerres_oyena,Common silverbiddy
Chirocentrus_dorab,Dorab wolfherring
Pelates_quadrilineatus,Fourlined terapon
Portunus_pelagicus,Blue swimming crab
Penaeus_monodon,Giant tiger prawn
Penaeus_semisulcatus,Green tiger prawn
Fenneropenaeus_indicus,Indian white prawn
Octopus_cyanea,Big blue octopus
