goal,dimension,region_id,score
AO,future,0,64.62
AO,future,1,65.16
AO,future,2,64.47
AO,future,3,63.6
AO,future,4,64.04
AO,future,5,64.72
AO,future,6,65.74
AO,pressures,1,33.43
AO,pressures,2,31.23
AO,pressures,3,36.35
AO,pressures,4,32.95
AO,pressures,5,30.59
AO,pressures,6,30.41
AO,resilience,1,67.32
AO,resilience,2,61.55
AO,resilience,3,62.14
AO,resilience,4,61.07
AO,resilience,5,62.22
AO,resilience,6,67.32
AO,score,0,61.5
AO,score,1,61.77
AO,score,2,61.43
AO,score,3,60.99
AO,score,4,61.22
AO,score,5,61.55
AO,score,6,62.06
AO,status,0,58.39
AO,status,1,58.39
AO,status,2,58.39
AO,status,3,58.39
AO,status,4,58.39
AO,status,5,58.39
AO,status,6,58.39
AO,trend,1,0.01
AO,trend,2,0.01
AO,trend,3,0.01
AO,trend,4,0.01
AO,trend,5,0.01
AO,trend,6,0.01
BD,future,0,90.76
BD,future,1,91.61
BD,future,2,92.09
BD,future,3,87.75
BD,future,4,89.95
BD,future,5,92.23
BD,future,6,90.94
BD,pressures,1,
BD,pressures,2,
BD,pressures,3,
BD,pressures,4,
BD,pressures,5,
BD,pressures,6,
BD,resilience,1,
BD,resilience,2,
BD,resilience,3,
BD,resilience,4,
BD,resilience,5,
BD,resilience,6,
BD,score,0,90.64
BD,score,1,91.59
BD,score,2,91.83
BD,score,3,88.39
BD,score,4,89.8
BD,score,5,91.9
BD,score,6,90.3
BD,status,0,90.51
BD,status,1,91.58
BD,status,2,91.58
BD,status,3,89.03
BD,status,4,89.65
BD,status,5,91.58
BD,status,6,89.65
BD,trend,1,-0.12
BD,trend,2,-0.12
BD,trend,3,-0.12
BD,trend,4,-0.12
BD,trend,5,-0.12
BD,trend,6,-0.12
CP,future,0,98
CP,future,1,100
CP,future,2,96.84
CP,future,3,96.76
CP,future,4,96.76
CP,future,5,97.62
CP,future,6,100
CP,pressures,1,40.77
CP,pressures,2,37.77
CP,pressures,3,39.57
CP,pressures,4,36.78
CP,pressures,5,36.9
CP,pressures,6,38.33
CP,resilience,1,73.58
CP,resilience,2,58.41
CP,resilience,3,59.94
CP,resilience,4,57.15
CP,resilience,5,60.15
CP,resilience,6,73.58
CP,score,0,94.35
CP,score,1,95.35
CP,score,2,93.77
CP,score,3,93.73
CP,score,4,93.73
CP,score,5,94.16
CP,score,6,95.35
CP,status,0,90.7
CP,status,1,90.7
CP,status,2,90.7
CP,status,3,90.7
CP,status,4,90.7
CP,status,5,90.7
CP,status,6,90.7
CP,trend,1,-0
CP,trend,2,-0
CP,trend,3,-0
CP,trend,4,-0
CP,trend,5,-0
CP,trend,6,-0
CS,future,0,96.96
CS,future,1,98.82
CS,future,2,95.51
CS,future,3,94.42
CS,future,4,95.95
CS,future,5,97.05
CS,future,6,100
CS,pressures,1,44.48
CS,pressures,2,34.89
CS,pressures,3,40.64
CS,pressures,4,31.7
CS,pressures,5,32.11
CS,pressures,6,35.97
CS,resilience,1,73.58
CS,resilience,2,52.88
CS,resilience,3,54.96
CS,resilience,4,51.15
CS,resilience,5,55.26
CS,resilience,6,73.58
CS,score,0,93.58
CS,score,1,94.51
CS,score,2,92.85
CS,score,3,92.31
CS,score,4,93.07
CS,score,5,93.62
CS,score,6,95.1
CS,status,0,90.2
CS,status,1,90.2
CS,status,2,90.2
CS,status,3,90.2
CS,status,4,90.2
CS,status,5,90.2
CS,status,6,90.2
CS,trend,1,-0
CS,trend,2,-0
CS,trend,3,-0
CS,trend,4,-0
CS,trend,5,-0
CS,trend,6,-0
CW,future,0,44.25
CW,future,1,44.25
CW,future,2,44.25
CW,future,3,44.25
CW,future,4,44.25
CW,future,5,44.25
CW,future,6,44.25
CW,pressures,1,76.42
CW,pressures,2,76.42
CW,pressures,3,76.42
CW,pressures,4,76.42
CW,pressures,5,76.42
CW,pressures,6,76.42
CW,resilience,1,73.58
CW,resilience,2,73.58
CW,resilience,3,73.58
CW,resilience,4,73.58
CW,resilience,5,73.58
CW,resilience,6,73.58
CW,score,0,49.69
CW,score,1,49.69
CW,score,2,49.69
CW,score,3,49.69
CW,score,4,49.69
CW,score,5,49.69
CW,score,6,49.69
CW,status,0,55.13
CW,status,1,55.13
CW,status,2,55.13
CW,status,3,55.13
CW,status,4,55.13
CW,status,5,55.13
CW,status,6,55.13
CW,trend,1,-0.28
CW,trend,2,-0.28
CW,trend,3,-0.28
CW,trend,4,-0.28
CW,trend,5,-0.28
CW,trend,6,-0.28
ECO,future,0,100
ECO,future,1,100
ECO,future,2,100
ECO,future,3,100
ECO,future,4,100
ECO,future,5,100
ECO,future,6,100
ECO,pressures,1,38.85
ECO,pressures,2,38.56
ECO,pressures,3,39.75
ECO,pressures,4,39.11
ECO,pressures,5,38.47
ECO,pressures,6,38.45
ECO,resilience,1,50
ECO,resilience,2,50
ECO,resilience,3,50
ECO,resilience,4,50
ECO,resilience,5,50
ECO,resilience,6,50
ECO,score,0,100
ECO,score,1,100
ECO,score,2,100
ECO,score,3,100
ECO,score,4,100
ECO,score,5,100
ECO,score,6,100
ECO,status,0,100
ECO,status,1,100
ECO,status,2,100
ECO,status,3,100
ECO,status,4,100
ECO,status,5,100
ECO,status,6,100
ECO,trend,1,1
ECO,trend,2,1
ECO,trend,3,1
ECO,trend,4,1
ECO,trend,5,1
ECO,trend,6,1
FIS,future,0,38.41
FIS,future,1,39.5
FIS,future,2,39.49
FIS,future,3,35.83
FIS,future,4,36.16
FIS,future,5,39.57
FIS,future,6,39.91
FIS,pressures,1,63.2
FIS,pressures,2,56.82
FIS,pressures,3,82.84
FIS,pressures,4,69
FIS,pressures,5,54.67
FIS,pressures,6,50
FIS,resilience,1,61.94
FIS,resilience,2,55.5
FIS,resilience,3,52.13
FIS,resilience,4,40.96
FIS,resilience,5,53.99
FIS,resilience,6,52.04
FIS,score,0,38.11
FIS,score,1,38.65
FIS,score,2,38.65
FIS,score,3,36.81
FIS,score,4,36.98
FIS,score,5,38.69
FIS,score,6,38.86
FIS,status,0,37.8
FIS,status,1,37.8
FIS,status,2,37.8
FIS,status,3,37.8
FIS,status,4,37.8
FIS,status,5,37.8
FIS,status,6,37.8
FIS,trend,1,0.07
FIS,trend,2,0.07
FIS,trend,3,0.07
FIS,trend,4,0.07
FIS,trend,5,0.07
FIS,trend,6,0.07
FP,future,0,38.41
FP,future,1,39.5
FP,future,2,39.49
FP,future,3,35.83
FP,future,4,36.16
FP,future,5,39.57
FP,future,6,39.91
FP,pressures,1,
FP,pressures,2,
FP,pressures,3,
FP,pressures,4,
FP,pressures,5,
FP,pressures,6,
FP,resilience,1,
FP,resilience,2,
FP,resilience,3,
FP,resilience,4,
FP,resilience,5,
FP,resilience,6,
FP,score,0,38.11
FP,score,1,38.65
FP,score,2,38.65
FP,score,3,36.81
FP,score,4,36.98
FP,score,5,38.69
FP,score,6,38.86
FP,status,0,37.8
FP,status,1,37.8
FP,status,2,37.8
FP,status,3,37.8
FP,status,4,37.8
