County,Year,County Fisheries Management scores,BMU performance Scores,Fisheries management effectiveness
Kilifi,2018/2013,0.523,0.638,0.581
Kwale,2018/2013,0.542,0.639,0.591
Lamu,2018/2013,0.532,0.577,0.554
Mombasa,2018/2013,0.561,0.643,0.602
Tana Delta,2018/2013,0.495,0.676,0.585
