region_id,rgn_name,habitat,year,Area_Km2
1,Mombasa,mangrove,2010,14.547
2,Kilifi,mangrove,2010,54.9112
3,Kwale,mangrove,2010,93.7149
4,Tana River,mangrove,2010,20.619
5,Lamu,mangrove,2010,353.1179
2,Kilifi,mangrove,2011,46.44900185
3,Kwale,mangrove,2011,92.39490367
5,Lamu,mangrove,2011,318.0744126
1,Mombasa,mangrove,2011,15.0597006
4,Tana River,mangrove,2011,12.16620048
2,Kilifi,mangrove,2012,54.9602309
3,Kwale,mangrove,2012,94.73681983
5,Lamu,mangrove,2012,312.1939284
1,Mombasa,mangrove,2012,8.587331985
4,Tana River,mangrove,2012,12.68600098
2,Kilifi,mangrove,2013,52.71828786
3,Kwale,mangrove,2013,87.90735143
5,Lamu,mangrove,2013,317.4973721
1,Mombasa,mangrove,2013,7.483979696
4,Tana River,mangrove,2013,12.3236545
2,Kilifi,mangrove,2014,54.78108889
3,Kwale,mangrove,2014,89.00163819
5,Lamu,mangrove,2014,314.5205636
1,Mombasa,mangrove,2014,7.153509855
4,Tana River,mangrove,2014,11.31129977
