rgn_id,rgn_name,cover_ha,year
1,Mombasa,1454.703726,2010
2,Kilifi,5491.116892,2010
3,Kwale,9371.485339,2010
4,Tana River,2061.897705,2010
5,Lamu,35311.78673,2010
