rgn_id,year,pressure_score
1,2009,0
1,2010,0.0580528111047961
1,2011,0.10844884248626
1,2012,0.0104700039533932
1,2013,0.00758714117766134
1,2014,0
1,2015,0
1,2016,0
2,2009,0
2,2010,0.0580528111047961
2,2011,0.10844884248626
2,2012,0.0104700039533932
2,2013,0.00758714117766134
2,2014,0
2,2015,0
2,2016,0
3,2009,0
3,2010,0.0580528111047961
3,2011,0.10844884248626
3,2012,0.0104700039533932
3,2013,0.00758714117766134
3,2014,0
3,2015,0
3,2016,0
4,2009,0
4,2010,0.0580528111047961
4,2011,0.10844884248626
4,2012,0.0104700039533932
4,2013,0.00758714117766134
4,2014,0
4,2015,0
4,2016,0
5,2009,0
5,2010,0.0580528111047961
5,2011,0.10844884248626
5,2012,0.0104700039533932
5,2013,0.00758714117766134
5,2014,0
5,2015,0
5,2016,0
6,2009,0
6,2010,0.0580528111047961
6,2011,0.10844884248626
6,2012,0.0104700039533932
6,2013,0.00758714117766134
6,2014,0
6,2015,0
6,2016,0
