rgn_id,year,usd
1,1998,14093998844
1,2002,13147736954
1,2004,16095321631
1,2005,18737895401
1,2006,22504136042
1,2007,27236739896
1,2008,30465489796
1,2009,30580367979
1,2010,32198151217
1,2011,33620684016
2,1998,14093998844
2,2002,13147736954
2,2004,16095321631
2,2005,18737895401
2,2006,22504136042
2,2007,27236739896
2,2008,30465489796
2,2009,30580367979
2,2010,32198151217
2,2011,33620684016
3,1998,14093998844
3,2002,13147736954
3,2004,16095321631
3,2005,18737895401
3,2006,22504136042
3,2007,27236739896
3,2008,30465489796
3,2009,30580367979
3,2010,32198151217
3,2011,33620684016
4,1998,14093998844
4,2002,13147736954
4,2004,16095321631
4,2005,18737895401
4,2006,22504136042
4,2007,27236739896
4,2008,30465489796
4,2009,30580367979
4,2010,32198151217
4,2011,33620684016
5,1998,14093998844
5,2002,13147736954
5,2004,16095321631
5,2005,18737895401
5,2006,22504136042
5,2007,27236739896
5,2008,30465489796
5,2009,30580367979
5,2010,32198151217
5,2011,33620684016
6,1998,14093998844
6,2002,13147736954
6,2004,16095321631
6,2005,18737895401
6,2006,22504136042
6,2007,27236739896
6,2008,30465489796
6,2009,30580367979
6,2010,32198151217
6,2011,33620684016
