rgn_id,habitat,year,km2
1,mangrove,1992,30.80317319
1,mangrove,2010,14.547
1,mangrove,2011,15.0597006
1,mangrove,2012,8.587331985
1,mangrove,2013,7.483979696
1,mangrove,2014,7.153509855
2,mangrove,1992,96.7164386
2,mangrove,2010,93.7149
2,mangrove,2011,92.39490367
2,mangrove,2012,94.73681983
2,mangrove,2013,87.90735143
2,mangrove,2014,89.00163819
3,mangrove,1992,81.19002312
3,mangrove,2010,54.9112
3,mangrove,2011,46.44900185
3,mangrove,2012,54.9602309
3,mangrove,2013,52.71828786
3,mangrove,2014,54.78108889
4,mangrove,1992,61.60465414
4,mangrove,2010,20.619
4,mangrove,2011,12.16620048
4,mangrove,2012,12.68600098
4,mangrove,2013,12.3236545
4,mangrove,2014,11.31129977
5,mangrove,1992,367.871444
5,mangrove,2010,353.1179
5,mangrove,2011,318.0744126
5,mangrove,2012,312.1939284
5,mangrove,2013,317.4973721
5,mangrove,2014,314.5205636
