rgn_id,year,Ep
1,1995,0.0493226
1,1996,0.0409581
1,1997,0.0435684
1,1998,0.0378937
1,1999,0.0446142
1,2000,0.0319241
1,2001,0.0309878
1,2002,0.031795
1,2003,0.0345166
1,2004,0.0426567
1,2005,0.0453026
1,2006,0.0446436
1,2007,0.0449877
1,2008,0.0398011
1,2009,0.0353977
1,2010,0.0409921
1,2011,0.0431932
1,2012,0.0423641
1,2013,0.0373304
1,2014,0.0365785
1,2015,0.0341732
1,2016,0.0341413
1,2017,0.033997
1,2018,0.0341623
1,2019,0.0343762
1,2020,0.034636
1,2021,0.0349069
1,2022,0.0350491
1,2023,0.035067
1,2024,0.0349854
1,2025,0.0347712
1,2026,0.0345543
1,2027,0.0342525
2,1995,0.0493226
2,1996,0.0409581
2,1997,0.0435684
2,1998,0.0378937
2,1999,0.0446142
2,2000,0.0319241
2,2001,0.0309878
2,2002,0.031795
2,2003,0.0345166
2,2004,0.0426567
2,2005,0.0453026
2,2006,0.0446436
2,2007,0.0449877
2,2008,0.0398011
2,2009,0.0353977
2,2010,0.0409921
2,2011,0.0431932
2,2012,0.0423641
2,2013,0.0373304
2,2014,0.0365785
2,2015,0.0341732
2,2016,0.0341413
2,2017,0.033997
2,2018,0.0341623
2,2019,0.0343762
2,2020,0.034636
2,2021,0.0349069
2,2022,0.0350491
2,2023,0.035067
2,2024,0.0349854
2,2025,0.0347712
2,2026,0.0345543
2,2027,0.0342525
3,1995,0.0493226
3,1996,0.0409581
3,1997,0.0435684
3,1998,0.0378937
3,1999,0.0446142
3,2000,0.0319241
3,2001,0.0309878
3,2002,0.031795
3,2003,0.0345166
3,2004,0.0426567
3,2005,0.0453026
3,2006,0.0446436
3,2007,0.0449877
3,2008,0.0398011
3,2009,0.0353977
3,2010,0.0409921
3,2011,0.0431932
3,2012,0.0423641
3,2013,0.0373304
3,2014,0.0365785
3,2015,0.0341732
3,2016,0.0341413
3,2017,0.033997
3,2018,0.0341623
3,2019,0.0343762
3,2020,0.034636
3,2021,0.0349069
3,2022,0.0350491
3,2023,0.035067
3,2024,0.0349854
3,2025,0.0347712
3,2026,0.0345543
3,2027,0.0342525
4,1995,0.0493226
4,1996,0.0409581
4,1997,0.0435684
4,1998,0.0378937
4,1999,0.0446142
4,2000,0.0319241
4,2001,0.0309878
4,2002,0.031795
4,2003,0.0345166
4,2004,0.0426567
4,2005,0.0453026
4,2006,0.0446436
4,2007,0.0449877
4,2008,0.0398011
4,2009,0.0353977
4,2010,0.0409921
4,2011,0.0431932
4,2012,0.0423641
4,2013,0.0373304
4,2014,0.0365785
4,2015,0.0341732
4,2016,0.0341413
4,2017,0.033997
4,2018,0.0341623
4,2019,0.0343762
4,2020,0.034636
4,2021,0.0349069
4,2022,0.0350491
4,2023,0.035067
4,2024,0.0349854
4,2025,0.0347712
4,2026,0.0345543
4,2027,0.0342525
5,1995,0.0493226
5,1996,0.0409581
5,1997,0.0435684
5,1998,0.0378937
5,1999,0.0446142
5,2000,0.0319241
5,2001,0.0309878
5,2002,0.031795
5,2003,0.0345166
5,2004,0.0426567
5,2005,0.0453026
5,2006,0.0446436
5,2007,0.0449877
5,2008,0.0398011
5,2009,0.0353977
5,2010,0.0409921
5,2011,0.0431932
5,2012,0.0423641
5,2013,0.0373304
5,2014,0.0365785
5,2015,0.0341732
5,2016,0.0341413
5,2017,0.033997
5,2018,0.0341623
5,2019,0.0343762
5,2020,0.034636
5,2021,0.0349069
5,2022,0.0350491
5,2023,0.035067
5,2024,0.0349854
5,2025,0.0347712
5,2026,0.0345543
5,2027,0.0342525
6,1995,0.0493226
6,1996,0.0409581
6,1997,0.0435684
6,1998,0.0378937
6,1999,0.0446142
6,2000,0.0319241
6,2001,0.0309878
6,2002,0.031795
6,2003,0.0345166
6,2004,0.0426567
6,2005,0.0453026
6,2006,0.0446436
6,2007,0.0449877
6,2008,0.0398011
6,2009,0.0353977
6,2010,0.0409921
6,2011,0.0431932
6,2012,0.0423641
6,2013,0.0373304
6,2014,0.0365785
6,2015,0.0341732
6,2016,0.0341413
6,2017,0.033997
6,2018,0.0341623
6,2019,0.0343762
6,2020,0.034636
6,2021,0.0349069
6,2022,0.0350491
6,2023,0.035067
6,2024,0.0349854
6,2025,0.0347712
6,2026,0.0345543
6,2027,0.0342525
