"County","Year","weighted_prop"
"Kilifi",2004,0.155
"Kilifi",2006,0.129
"Kilifi",2008,0.15
"Kilifi",2012,0.31
"Kilifi",2014,0.289
"Kilifi",2016,0.287
"Kwale",2004,0.064
"Kwale",2006,0.127
"Kwale",2008,0.151
"Kwale",2012,0.225
"Kwale",2014,0.128
"Kwale",2016,0.13
"Lamu",2004,0.17
"Lamu",2006,0.307
"Lamu",2008,0.358
"Lamu",2012,0.271
"Lamu",2014,0.258
"Lamu",2016,0.242
"Mombasa",2004,0.045
"Mombasa",2006,0.043
"Mombasa",2008,0.216
"Mombasa",2012,0.229
"Mombasa",2014,0.087
"Mombasa",2016,0.05
"Tana River",2004,0.004
"Tana River",2006,0.243
"Tana River",2008,0.042
"Tana River",2012,0.311
"Tana River",2014,0.104
"Tana River",2016,0.28
