County,Year,Illegal Gears,No.,All gears count,Proportion of Total
Kilifi,2004,Beach Seine,50,9174,0.005
Kilifi,2004,Monofilament ,388,9174,0.042
Kilifi,2004,Spearguns,241,9174,0.026
Kilifi,2004,Reef seine,122,9174,0.013
Kilifi,2004,Harpoons,0,9174,0
TOTAL,,,801,,
Kwale,2004,Beach Seine,80,9867,0.008
Kwale,2004,Monofilament ,52,9867,0.005
Kwale,2004,Spearguns,203,9867,0.021
Kwale,2004,Reef seine,34,9867,0.003
Kwale,2004,Harpoons,0,9867,0.000
TOTAL,,,369,,
Lamu,2004,Beach Seine,102,5440,0.019
Lamu,2004,Monofilament ,358,5440,0.066
Lamu,2004,Spearguns,0,5440,0.000
Lamu,2004,Reef seine,0,5440,0.000
Lamu,2004,Harpoons,0,5440,0.000
TOTAL,,,460,,
Mombasa,2004,Beach Seine,60,8051,0.007
Mombasa,2004,Monofilament ,94,8051,0.012
Mombasa,2004,Spearguns,1,8051,0.000
Mombasa,2004,Reef seine,2,8051,0.000
Mombasa,2004,Harpoons,0,8051,0.000
TOTAL,,,157,,
Tana River,2004,Beach Seine,2,7148,0.000
Tana River,2004,Monofilament ,10,7148,0.001
Tana River,2004,Spearguns,4,7148,0.001
Tana River,2004,Reef seine,0,7148,0.000
Tana River,2004,Harpoons,0,7148,0.000
TOTAL,,,16,,
Kilifi,2006,Beach Seine,54,9630,0.006
Kilifi,2006,Monofilament ,382,9630,0.040
Kilifi,2006,Spearguns,161,9630,0.017
Kilifi,2006,Reef seine,78,9630,0.008
Kilifi,2006,Harpoons,0,9630,0.000
TOTAL,,,675,,
Kwale,2006,Beach Seine,76,10749,0.007
Kwale,2006,Monofilament ,304,10749,0.028
Kwale,2006,Spearguns,438,10749,0.041
Kwale,2006,Reef seine,56,10749,0.005
Kwale,2006,Harpoons,0,10749,0.000
TOTAL,,,874,,
Lamu,2006,Beach Seine,370,4050,0.091
Lamu,2006,Monofilament ,196,4050,0.048
Lamu,2006,Spearguns,0,4050,0.000
Lamu,2006,Reef seine,12,4050,0.003
Lamu,2006,Harpoons,0,4050,0.000
TOTAL,,,578,,
Mombasa,2006,Beach Seine,58,7623,0.008
Mombasa,2006,Monofilament ,68,7623,0.009
Mombasa,2006,Spearguns,25,7623,0.003
Mombasa,2006,Reef seine,0,7623,0.000
Mombasa,2006,Harpoons,0,7623,0.000
TOTAL,,,151,,
Tana River,2006,Beach Seine,2,742,0.003
Tana River,2006,Monofilament ,100,742,0.135
Tana River,2006,Spearguns,0,742,0.000
Tana River,2006,Reef seine,0,742,0.000
Tana River,2006,Harpoons,0,742,0.000
TOTAL,,,102,,
Kilifi,2008,Beach Seine,6,9443,0.001
Kilifi,2008,Monofilament ,410,9443,0.043
Kilifi,2008,Spearguns,359,9443,0.038
Kilifi,2008,Reef seine,105,9443,0.011
Kilifi,2008,Harpoons,0,9443,0.000
TOTAL,,,880,,
Kwale,2008,Beach Seine,74,5845,0.013
Kwale,2008,Monofilament ,27,5845,0.005
Kwale,2008,Spearguns,525,5845,0.090
Kwale,2008,Reef seine,41,5845,0.007
Kwale,2008,Harpoons,0,5845,0.000
