rgn_id,stock_id,year,mean_catch
Lamu,Siganus_sutor,2002,167.757
Lamu,Siganus_sutor,2003,182.269
Lamu,Siganus_sutor,2004,182.267
Lamu,Siganus_sutor,2005,244.955
Lamu,Siganus_sutor,2006,245.549
Lamu,Siganus_sutor,2007,210.577
Lamu,Siganus_sutor,2008,234.82
Lamu,Siganus_sutor,2009,226.745
Lamu,Siganus_sutor,2010,310
Lamu,Siganus_sutor,2011,337.982
Lamu,Siganus_sutor,2012,270
Lamu,Siganus_sutor,2013,339
Lamu,Siganus_sutor,2014,331
Lamu,Siganus_sutor,2015,475
Lamu,Siganus_sutor,2016,831.441
Tana river,Siganus_sutor,2002,1.993
Tana river,Siganus_sutor,2003,3.535
Tana river,Siganus_sutor,2004,3.37
Tana river,Siganus_sutor,2005,2.957
Tana river,Siganus_sutor,2006,6.572
Tana river,Siganus_sutor,2007,0.249
Tana river,Siganus_sutor,2008,1.541
Tana river,Siganus_sutor,2009,1.506
Tana river,Siganus_sutor,2010,5
Tana river,Siganus_sutor,2011,26.637
Tana river,Siganus_sutor,2012,20
Tana river,Siganus_sutor,2013,27
Tana river,Siganus_sutor,2014,5
Tana river,Siganus_sutor,2015,0
Tana river,Siganus_sutor,2016,94
Kilifi,Siganus_sutor,2002,55.785
Kilifi,Siganus_sutor,2003,80.078
Kilifi,Siganus_sutor,2004,63.301
Kilifi,Siganus_sutor,2005,70.943
Kilifi,Siganus_sutor,2006,54.445
Kilifi,Siganus_sutor,2007,88.527
Kilifi,Siganus_sutor,2008,68.398
Kilifi,Siganus_sutor,2009,32.961
Kilifi,Siganus_sutor,2010,113
Kilifi,Siganus_sutor,2011,161.562
Kilifi,Siganus_sutor,2012,115
Kilifi,Siganus_sutor,2013,162
Kilifi,Siganus_sutor,2014,121
Kilifi,Siganus_sutor,2015,343
Kilifi,Siganus_sutor,2016,537.523
Mombasa,Siganus_sutor,2002,18.968
Mombasa,Siganus_sutor,2003,29.993
Mombasa,Siganus_sutor,2004,32.082
Mombasa,Siganus_sutor,2005,3.869
Mombasa,Siganus_sutor,2006,37.344
Mombasa,Siganus_sutor,2007,59.483
Mombasa,Siganus_sutor,2008,69.981
Mombasa,Siganus_sutor,2009,63.981
Mombasa,Siganus_sutor,2010,84
Mombasa,Siganus_sutor,2011,108.066
Mombasa,Siganus_sutor,2012,98
Mombasa,Siganus_sutor,2013,108
Mombasa,Siganus_sutor,2014,89
Mombasa,Siganus_sutor,2015,235
Mombasa,Siganus_sutor,2016,438.678
Kwale,Siganus_sutor,2002,124.238
Kwale,Siganus_sutor,2003,85.724
Kwale,Siganus_sutor,2004,72.629
Kwale,Siganus_sutor,2005,55.567
Kwale,Siganus_sutor,2006,68.219
Kwale,Siganus_sutor,2007,72.762
Kwale,Siganus_sutor,2008,93.615
Kwale,Siganus_sutor,2009,9.342
Kwale,Siganus_sutor,2010,165
Kwale,Siganus_sutor,2011,157.091
Kwale,Siganus_sutor,2012,143
Kwale,Siganus_sutor,2013,158
Kwale,Siganus_sutor,2014,176
Kwale,Siganus_sutor,2015,434
Kwale,Siganus_sutor,2016,486.186
Lamu,Rastrelliger_kanagurta,2002,0
Lamu,Rastrelliger_kanagurta,2003,0
Lamu,Rastrelliger_kanagurta,2004,0
Lamu,Rastrelliger_kanagurta,2005,9.07
Lamu,Rastrelliger_kanagurta,2006,1.99
Lamu,Rastrelliger_kanagurta,2007,0
Lamu,Rastrelliger_kanagurta,2008,9.482
Lamu,Rastrelliger_kanagurta,2009,0
