"rgn_id","Year","species","catch"
"5",2002,"Rastrelliger_kanarguta",0
"5",2003,"Rastrelliger_kanarguta",0
"5",2004,"Rastrelliger_kanarguta",0
"5",2005,"Rastrelliger_kanarguta",9.07
"5",2006,"Rastrelliger_kanarguta",1.99
"5",2007,"Rastrelliger_kanarguta",0
"5",2008,"Rastrelliger_kanarguta",9.482
"5",2009,"Rastrelliger_kanarguta",0
"5",2010,"Rastrelliger_kanarguta",0
"5",2011,"Rastrelliger_kanarguta",0
"5",2012,"Rastrelliger_kanarguta",0
"5",2013,"Rastrelliger_kanarguta",0
"5",2014,"Rastrelliger_kanarguta",0
"5",2015,"Rastrelliger_kanarguta",0
"5",2016,"Rastrelliger_kanarguta",9
"5",2002,"Sphyraena_sp",13.95
"5",2003,"Sphyraena_sp",21.9
"5",2004,"Sphyraena_sp",19.893
"5",2005,"Sphyraena_sp",23.732
"5",2006,"Sphyraena_sp",40.854
"5",2007,"Sphyraena_sp",52.945
"5",2008,"Sphyraena_sp",46.745
"5",2009,"Sphyraena_sp",50.629
"5",2010,"Sphyraena_sp",59
"5",2011,"Sphyraena_sp",69.416
"5",2012,"Sphyraena_sp",63
"5",2013,"Sphyraena_sp",67
"5",2014,"Sphyraena_sp",63
"5",2015,"Sphyraena_sp",16
"5",2016,"Sphyraena_sp",36.594
"5",2002,"Panulirus_sp",57.02
"5",2003,"Panulirus_sp",78.884
"5",2004,"Panulirus_sp",59.82
"5",2005,"Panulirus_sp",44.537
"5",2006,"Panulirus_sp",41.785
"5",2007,"Panulirus_sp",44.953
"5",2008,"Panulirus_sp",62.837
"5",2009,"Panulirus_sp",36.741
"5",2010,"Panulirus_sp",36
"5",2011,"Panulirus_sp",45.113
"5",2012,"Panulirus_sp",32
"5",2013,"Panulirus_sp",60
"5",2014,"Panulirus_sp",39
"5",2015,"Panulirus_sp",157
"5",2016,"Panulirus_sp",286.242
"5",2002,"Peneius_indicus",15.665
"5",2003,"Peneius_indicus",12.974
"5",2004,"Peneius_indicus",19.584
"5",2005,"Peneius_indicus",18.935
"5",2006,"Peneius_indicus",11.761
"5",2007,"Peneius_indicus",11.929
"5",2008,"Peneius_indicus",14.204
"5",2009,"Peneius_indicus",11.546
"5",2010,"Peneius_indicus",45
"5",2011,"Peneius_indicus",13.975
"5",2012,"Peneius_indicus",13
"5",2013,"Peneius_indicus",19
"5",2014,"Peneius_indicus",48
"5",2015,"Peneius_indicus",4
"5",2016,"Peneius_indicus",0.008
"5",2002,"Siganus_sutor",167.757
"5",2003,"Siganus_sutor",182.269
"5",2004,"Siganus_sutor",182.267
"5",2005,"Siganus_sutor",244.955
"5",2006,"Siganus_sutor",245.549
"5",2007,"Siganus_sutor",210.577
"5",2008,"Siganus_sutor",234.82
"5",2009,"Siganus_sutor",226.745
"5",2010,"Siganus_sutor",310
"5",2011,"Siganus_sutor",337.982
"5",2012,"Siganus_sutor",270
"5",2013,"Siganus_sutor",339
"5",2014,"Siganus_sutor",331
"5",2015,"Siganus_sutor",475
"5",2016,"Siganus_sutor",831.441
"5",2002,"Istiophurus_sp",7.882
"5",2003,"Istiophurus_sp",6.7
"5",2004,"Istiophurus_sp",4.065
"5",2005,"Istiophurus_sp",6.502
"5",2006,"Istiophurus_sp",3.264
"5",2007,"Istiophurus_sp",2.773
"5",2008,"Istiophurus_sp",5.093
"5",2009,"Istiophurus_sp",8.51
"5",2010,"Istiophurus_sp",8
"5",2011,"Istiophurus_sp",5.674
"5",2012,"Istiophurus_sp",8
"5",2013,"Istiophurus_sp",6
"5",2014,"Istiophurus_sp",8
"5",2015,"Istiophurus_sp",0
"5",2016,"Istiophurus_sp",2.143
"4",2002,"Rastrelliger_kanarguta",0
"4",2003,"Rastrelliger_kanarguta",0
"4",2004,"Rastrelliger_kanarguta",0
"4",2005,"Rastrelliger_kanarguta",0
"4",2006,"Rastrelliger_kanarguta",3.691
"4",2007,"Rastrelliger_kanarguta",5.665
"4",2008,"Rastrelliger_kanarguta",0
"4",2009,"Rastrelliger_kanarguta",0
"4",2010,"Rastrelliger_kanarguta",3
"4",2011,"Rastrelliger_kanarguta",10.891
"4",2012,"Rastrelliger_kanarguta",21
"4",2013,"Rastrelliger_kanarguta",11
"4",2014,"Rastrelliger_kanarguta",3
"4",2015,"Rastrelliger_kanarguta",1
"4",2016,"Rastrelliger_kanarguta",2
"4",2002,"Sphyraena_sp",0.822
