"Year","catch","k","species","bmsy","biomass","harvest_rate","bbmsy","rgn_id"
2002,181.98,0.5,"Sphyraena_sp",3812.67,1530.673,0.118888880904021,0.4,1
2003,157.284,0.5,"Sphyraena_sp",3812.67,1348.693,0.116619571689035,0.35,1
2004,118.335,0.5,"Sphyraena_sp",3812.67,1271.58130072654,0.093061292999816,0.33,1
2005,155.344,0.5,"Sphyraena_sp",3812.67,1260.86437459653,0.123204369264307,0.33,1
2006,244.626,0.5,"Sphyraena_sp",3812.67,1216.64537769324,0.20106598396306,0.32,1
2007,255.974,0.5,"Sphyraena_sp",3812.67,1096.82077392467,0.23337814717355,0.29,1
2008,313.852,0.5,"Sphyraena_sp",3812.67,996.287594522177,0.315021487495811,0.26,1
2009,147.478,0.5,"Sphyraena_sp",3812.67,856.34653114001,0.172217664972228,0.22,1
2010,280,0.5,"Sphyraena_sp",3812.67,897.497040450668,0.311978744642323,0.24,1
2011,327.473,0.5,"Sphyraena_sp",3812.67,803.125698491947,0.407748127864549,0.21,1
2012,261,0.5,"Sphyraena_sp",3812.67,666.520354323593,0.391585940784766,0.17,1
2013,316,0.5,"Sphyraena_sp",3812.67,593.664826587071,0.532286882847106,0.16,1
2014,302,0.5,"Sphyraena_sp",3812.67,459.372086981634,0.657419134854996,0.12,1
2002,368.741,0.45,"Siganus_sutor",826,3379.6175,0.109107317618044,4.09,1
2003,381.599,0.45,"Siganus_sutor",826,3010.8765,0.12674017017968,3.65,1
2004,353.649,0.45,"Siganus_sutor",826,2777.10639636739,0.12734441880318,3.36,1
2005,378.291,0.45,"Siganus_sutor",826,2646.25090714227,0.142953564599255,3.2,1
2006,412.129,0.45,"Siganus_sutor",826,2526.3626421346,0.163131370424232,3.06,1
2007,431.598,0.45,"Siganus_sutor",826,2401.25844263612,0.179738254049068,2.91,1
2008,468.355,0.45,"Siganus_sutor",826,2282.47153024915,0.205196425801147,2.76,1
2009,334.535,0.45,"Siganus_sutor",826,2147.55426342983,0.155774876424179,2.6,1
2010,677,0.45,"Siganus_sutor",826,2165.32694186686,0.31265486375758,2.62,1
2011,791.338,0.45,"Siganus_sutor",826,1838.42609579511,0.430443193669828,2.23,1
2012,646,0.45,"Siganus_sutor",826,1424.35413943686,0.453538893252634,1.72,1
2013,794,0.45,"Siganus_sutor",826,1149.17845833931,0.69092837081842,1.39,1
2014,722,0.45,"Siganus_sutor",826,696.467857122437,0.99,0.84,1
2002,307.744,0.39,"Rastrelliger_kanarguta",2308,1656.5135,0.185778141862412,0.72,1
2003,215.703,0.39,"Rastrelliger_kanarguta",2308,1348.7695,0.159925769377199,0.58,1
2004,175.97,0.39,"Rastrelliger_kanarguta",2308,1230.78953768917,0.142973266030833,0.53,1
2005,115.756,0.39,"Rastrelliger_kanarguta",2308,1178.18157096855,0.0982497119733762,0.51,1
2006,149.532,0.39,"Rastrelliger_kanarguta",2308,1195.10733106309,0.125120142863642,0.52,1
2007,213.886,0.39,"Rastrelliger_kanarguta",2308,1175.40081035243,0.181968566055242,0.51,1
2008,154.723,0.39,"Rastrelliger_kanarguta",2308,1094.65293187103,0.141344343485693,0.47,1
