rgn_name,County_ID,Year,illegal
Kilifi,2,2004,0.07
Kilifi,2,2006,0.06
Kilifi,2,2008,0.08
Kilifi,2,2012,0.2
Kilifi,2,2014,0.18
Kilifi,2,2016,0.18
Kwale,3,2004,0.03
Kwale,3,2006,0.08
Kwale,3,2008,0.11
Kwale,3,2012,0.11
Kwale,3,2014,0.09
Kwale,3,2016,0.08
Lamu,5,2004,0.08
Lamu,5,2006,0.14
Lamu,5,2008,0.21
Lamu,5,2012,0.11
Lamu,5,2014,0.13
Lamu,5,2016,0.12
Mombasa,1,2004,0.02
Mombasa,1,2006,0.02
Mombasa,1,2008,0.12
Mombasa,1,2012,0.11
Mombasa,1,2014,0.05
Mombasa,1,2016,0.02
Tana River,4,2004,0
Tana River,4,2006,0.14
Tana River,4,2008,0.03
Tana River,4,2012,0.17
Tana River,4,2014,0.06
Tana River,4,2016,0.16
