rgn_id,rgn_name,year,total_pop2015,proportion of national 5m popn,pressure_score
2,Kilifi,2015,"591,574",0.342389062,0.342
3,Kwale,2015,"226,683",0.131198767,0.131
5,Lamu,2015,"50,550",0.029257146,0.029
1,Mombasa,2015,"834,380",0.482919441,0.483
4,Tana River,2015,"24,596",0.014235584,0.014
,,,,,
,,,"1,727,783",,
