"Region","Fishing_Zone","Year","total_minutes","total_hours","total_fishing_days","year_minutes","proportion_effort"
"Kilifi","Malindi Bay","2016",219923,3665.4,146,429070,0.513
"Kilifi","Malindi Bay","2017",153842,2564,146,253089,0.608
"Tana River","Ungwana Bay","2016",209147,3485.8,160,429070,0.487
"Tana River","Ungwana Bay","2017",99247,1654.1,98,253089,0.392
"Tana River","Ungwana Bay","2018",120,2,1,120,1
