Vessel Name,Fishing Zone,Day,Month,Year,Haul No,Start time,Finish time,Ave.fishinfg depth(m),no of trawl nets,Prawns (Kg),Fin Fish (Kg),Octopus (Kg),Squids (Kg),Cuttlefish (Kg),Lobsters (Kg),Crabs (Kg),Others (Kg),Trash (Kg)
Trawler I,Malindi bay,30,5,2016,1,15:30,17:15,40,1,0,0,0,0,0,0,0,0,0
Trawler I,Malindi bay,31,5,2016,1,08:00,09:40,41,1,0,0,0,0,0,0,0,0,0
Trawler I,Malindi bay,31,5,2016,2,14:00,15:45,38,1,0,0,0,0,0,0,0,0,0
Trawler I,Malindi bay,31,5,2016,3,16:45,17:30,38,1,0,0,0,0,0,0,0,0,0
Trawler I,Malindi bay,1,6,2016,1,06:45,08:15,120,1,0,0,0,0,0,0,0,0,0
Trawler I,Malindi bay,1,6,2016,2,09:40,10:15,105,1,0,34,0,0,0,0,0,0,0
Trawler I,Malindi bay,1,6,2016,3,10:50,12:50,85,1,0,6,0,0,0,0,0,0,0
Trawler I,Malindi bay,1,6,2016,4,13:50,15:00,140,1,0,28,0,0,0,0,0,0,0
Trawler I,Malindi bay,1,6,2016,5,15:45,17:30,40,1,0,21,0,0,0,0,0,0,0
Trawler I,Malindi bay,10,6,2016,1,08:05,10:00,33.5,2,96,208,0,0,0,0,0,0,0
Trawler I,Malindi bay,10,6,2016,2,10:35,12:35,34,2,36,216,0,0,0,0,0,0,0
Trawler I,Malindi bay,10,6,2016,3,13:20,15:20,38.5,2,50,328,0,0,0,0,0,0,0
Trawler I,Malindi bay,10,6,2016,4,15:45,17:55,38.5,2,48,88,0,0,0,0,0,0,0
Trawler I,Malindi bay,11,6,2016,1,06:00,08:10,38,2,32,48,0,0,0,0,0,0,0
Trawler I,Malindi bay,11,6,2016,2,08:50,11:00,39,2,52,679,0,0,0,0,0,0,0
Trawler I,Malindi bay,11,6,2016,3,11:30,13:35,38.5,2,46,464,0,0,0,0,0,0,0
Trawler I,Malindi bay,11,6,2016,4,14:40,16:15,38.5,2,28,238,0,0,0,0,0,0,0
Trawler I,Malindi bay,11,6,2016,5,16:45,18:00,40,2,36,290,0,0,0,0,0,0,0
Trawler I,Malindi bay,12,6,2016,1,06:10,06:30,38,2,0,0,0,0,0,0,0,0,0
Trawler I,Malindi bay,12,6,2016,2,07:00,09:00,38.5,2,0,758,0,0,0,0,0,0,0
Trawler I,Malindi bay,12,6,2016,3,09:35,11:35,38.5,2,52,240,0,0,0,0,0,0,0
Trawler I,Malindi bay,12,6,2016,4,12:15,12:45,39,2,24,322,0,0,0,0,0,0,0
Trawler I,Malindi bay,14,6,2016,1,06:10,08:15,39.5,2,52,56,0,0,0,0,0,0,0
Trawler I,Malindi bay,14,6,2016,2,09:00,11:00,40,2,40,56,0,0,0,0,0,0,0
Trawler I,Malindi bay,14,6,2016,3,11:30,13:40,41,2,72,320,0,0,0,0,0,0,0
Trawler I,Malindi bay,14,6,2016,4,14:30,16:15,39.5,2,42,128,0,0,0,0,0,0,0
Trawler I,Malindi bay,14,6,2016,5,16:45,18:00,40,2,28,364,0,0,0,0,0,0,0
Trawler I,Malindi bay,15,6,2016,1,06:10,08:00,40,2,28,144,0,0,0,0,0,0,0
Trawler I,Malindi bay,15,6,2016,2,10:00,11:05,39,2,10,136,0,0,0,0,0,0,0
Trawler I,Malindi bay,16,6,2016,1,06:00,08:10,40,2,62,80,0,0,0,0,0,0,0
Trawler I,Malindi bay,16,6,2016,2,08:30,10:30,41,2,48,96,0,0,0,0,0,0,0
Trawler I,Malindi bay,16,6,2016,3,11:00,12:30,41,2,8,48,0,0,0,0,0,0,0
Trawler I,Malindi bay,16,6,2016,4,16:10,18:00,41.5,2,52,64,0,0,0,0,0,0,0
Trawler I,Malindi bay,17,6,2016,1,06:00,08:00,39,2,34,708,0,0,0,0,0,0,0
Trawler I,Malindi bay,17,6,2016,2,09:05,11:05,40,2,56,315,0,0,0,0,0,0,0
Trawler I,Malindi bay,17,6,2016,3,11:30,13:30,40,2,56,135,0,0,0,0,0,0,0
Trawler I,Malindi bay,17,6,2016,4,14:10,16:10,41,2,38,345,0,0,0,0,0,0,0
Trawler I,Malindi bay,17,6,2016,5,16:25,18:00,41,2,34,135,0,0,0,0,0,0,0
Trawler I,Malindi bay,18,6,2016,1,06:00,08:10,37,2,64,96,0,0,0,0,0,0,0
Trawler I,Malindi bay,18,6,2016,2,08:30,10:35,38,2,44,80,0,0,0,0,0,0,0
Trawler I,Malindi bay,18,6,2016,3,11:00,13:15,39.5,2,78,220,0,0,0,0,0,0,0
Trawler I,Malindi bay,18,6,2016,4,13:45,15:35,39,2,40,235,0,0,0,0,0,0,0
Trawler I,Malindi bay,18,6,2016,5,16:00,18:00,39,2,36,209,0,0,0,0,0,0,0
Trawler I,Malindi bay,19,6,2016,1,06:00,08:00,37,2,14,1043,0,0,0,0,0,0,
Trawler I,Malindi bay,19,6,2016,2,08:55,11:00,36,2,16,705,0,0,0,0,0,0,0
Trawler I,Malindi bay,19,6,2016,3,11:45,13:45,32,2,30,525,0,0,0,0,0,0,0
Trawler I,Malindi bay,19,6,2016,4,14:30,16:45,29.5,2,48,210,0,0,0,0,0,0,0
Trawler I,Malindi bay,19,6,2016,5,17:00,18:00,29.5,2,40,75,0,0,0,0,0,0,0
Trawler I,Malindi bay,20,6,2016,1,06:30,08:30,35.5,2,64,329,0,0,0,0,0,0,0
Trawler I,Malindi bay,20,6,2016,2,09:00,11:15,35,2,44,160,0,0,0,0,0,0,0
Trawler I,Malindi bay,20,6,2016,3,11:40,14:10,36,2,40,75,0,0,0,0,0,0,0
Trawler I,Malindi bay,20,6,2016,4,14:35,16:25,36,2,22,90,0,0,0,0,0,0,0
Trawler I,Malindi bay,20,6,2016,5,16:45,18:00,40,2,42,42,0,0,0,0,0,0,0
Trawler I,Malindi bay,21,6,2016,1,06:00,08:00,38,2,72,448,0,0,0,0,0,0,0
Trawler I,Malindi bay,21,6,2016,2,08:40,11:00,40,2,34,299,0,0,0,0,0,0,0
Trawler I,Malindi bay,21,6,2016,3,12:00,14:00,40,2,92,330,0,0,0,0,0,0,0
Trawler I,Malindi bay,21,6,2016,4,14:30,16:15,40,2,68,258,0,0,0,0,0,0,0
Trawler I,Malindi bay,21,6,2016,5,16:45,18:00,40,2,78,253,0,0,0,0,0,0,0
Trawler I,Malindi bay,22,6,2016,1,06:30,08:45,39,2,14,448,0,0,0,0,0,0,0
Trawler I,Malindi bay,22,6,2016,2,09:15,11:30,37,2,56,449,0,0,0,0,0,0,0
Trawler I,Malindi bay,22,6,2016,3,12:15,14:35,30,2,34,345,0,0,0,0,0,0,0
