"rgn_id","habitat","extent_rank","layer"
1,"mangrove",994.337869845,"element_wts_cs_km2_x_storage"
2,"mangrove",12371.22770841,"element_wts_cs_km2_x_storage"
3,"mangrove",7614.57135571,"element_wts_cs_km2_x_storage"
4,"mangrove",1572.27066803,"element_wts_cs_km2_x_storage"
5,"mangrove",43718.3583404,"element_wts_cs_km2_x_storage"
1,"seagrass",8552.652,"element_wts_cs_km2_x_storage"
2,"seagrass",8552.652,"element_wts_cs_km2_x_storage"
3,"seagrass",8552.652,"element_wts_cs_km2_x_storage"
4,"seagrass",8552.652,"element_wts_cs_km2_x_storage"
5,"seagrass",8552.652,"element_wts_cs_km2_x_storage"
6,"seagrass",8552.652,"element_wts_cs_km2_x_storage"
