"rgn_id","habitat","extent_rank","layer"
1,"seagrass",103.044,"element_wts_cp_km2_x_protection"
2,"seagrass",103.044,"element_wts_cp_km2_x_protection"
3,"seagrass",103.044,"element_wts_cp_km2_x_protection"
4,"seagrass",103.044,"element_wts_cp_km2_x_protection"
5,"seagrass",103.044,"element_wts_cp_km2_x_protection"
6,"seagrass",103.044,"element_wts_cp_km2_x_protection"
1,"coral",247.77120664,"element_wts_cp_km2_x_protection"
2,"coral",846.9462172,"element_wts_cp_km2_x_protection"
3,"coral",2348.1953748,"element_wts_cp_km2_x_protection"
4,"coral",1997.7644956,"element_wts_cp_km2_x_protection"
5,"coral",4068.378216,"element_wts_cp_km2_x_protection"
